source_id,record_id,GroupID
MRDS,10038762,1873
MRDS,10038763,1874
MRDS,10038764,173
MRDS,10038765,1500
MRDS,10038766,1638
MRDS,10038767,1875
MRDS,10038769,134
MRDS,10038770,441
MRDS,10038771,1472
MRDS,10038772,1738
MRDS,10038773,743
MRDS,10038791,1023
MRDS,10038796,1085
MRDS,10038797,1876
MRDS,10038798,1877
MRDS,10038800,289
MRDS,10038802,648
MRDS,10038803,1878
MRDS,10038808,49
MRDS,10038809,524
MRDS,10038814,425
MRDS,10038819,509
MRDS,10038825,1403
MRDS,10038826,456
MRDS,10038828,1879
MRDS,10038836,1606
MRDS,10038876,1880
MRDS,10038877,1762
MRDS,10038911,144
MRDS,10038912,1881
MRDS,10038917,494
MRDS,10038918,1882
MRDS,10038919,208
MRDS,10038920,435
MRDS,10038921,521
MRDS,10038922,435
MRDS,10038928,283
MRDS,10038935,9
MRDS,10038973,287
MRDS,10038974,1081
MRDS,10038975,1081
MRDS,10038976,1081
MRDS,10038990,405
MRDS,10038991,1560
MRDS,10038992,902
MRDS,10038994,1161
MRDS,10038999,1410
MRDS,10039019,277
MRDS,10039026,922
MRDS,10039042,15
MRDS,10039044,870
MRDS,10039047,113
MRDS,10039048,628
MRDS,10039049,628
MRDS,10039050,628
MRDS,10039056,1057
MRDS,10039063,1883
MRDS,10039064,1256
MRDS,10039076,450
MRDS,10039077,1834
MRDS,10039086,1808
MRDS,10039091,1884
MRDS,10039112,252
MRDS,10039114,956
MRDS,10039116,1885
MRDS,10039117,1886
MRDS,10039118,1887
MRDS,10039159,1221
MRDS,10039160,1681
MRDS,10039161,1317
MRDS,10039177,401
MRDS,10039178,1117
MRDS,10039179,1162
MRDS,10039180,886
MRDS,10039181,45
MRDS,10039182,407
MRDS,10039183,1691
MRDS,10039184,1888
MRDS,10039185,719
MRDS,10039186,418
MRDS,10039187,1889
MRDS,10039188,90
MRDS,10039189,1495
MRDS,10039190,624
MRDS,10039191,660
MRDS,10039192,1694
MRDS,10039193,1595
MRDS,10039194,684
MRDS,10039195,1292
MRDS,10039196,1733
MRDS,10039197,1446
MRDS,10039198,1890
MRDS,10039199,391
MRDS,10039200,1891
MRDS,10039201,386
MRDS,10039202,359
MRDS,10039203,166
MRDS,10039204,151
MRDS,10039205,1680
MRDS,10039206,1507
MRDS,10039207,465
MRDS,10039208,726
MRDS,10039213,1552
MRDS,10039215,279
MRDS,10039216,6
MRDS,10039217,982
MRDS,10039218,730
MRDS,10039219,929
MRDS,10039220,962
MRDS,10039221,12
MRDS,10039222,990
MRDS,10039223,554
MRDS,10039230,1030
MRDS,10039231,1750
MRDS,10039232,1892
MRDS,10039233,905
MRDS,10039235,859
MRDS,10039238,348
MRDS,10039239,1893
MRDS,10039240,1176
MRDS,10039241,1637
MRDS,10039243,559
MRDS,10039244,1326
MRDS,10039245,1627
MRDS,10039246,1894
MRDS,10039247,526
MRDS,10039248,1214
MRDS,10039249,1895
MRDS,10039250,1180
MRDS,10039251,622
MRDS,10039276,481
MRDS,10039278,1365
MRDS,10039280,1789
MRDS,10039282,1817
MRDS,10039283,1896
MRDS,10039284,972
MRDS,10039286,1897
MRDS,10039293,1036
MRDS,10039294,148
MRDS,10039295,157
MRDS,10039296,1898
MRDS,10039297,168
MRDS,10039298,583
MRDS,10039299,764
MRDS,10039300,235
MRDS,10039301,1899
MRDS,10039302,1900
MRDS,10039303,1901
MRDS,10039304,882
MRDS,10039305,1424
MRDS,10039306,97
MRDS,10039307,1412
MRDS,10039308,1902
MRDS,10039309,1903
MRDS,10039310,1329
MRDS,10039311,492
MRDS,10039312,1904
MRDS,10039313,368
MRDS,10039314,1905
MRDS,10039315,1349
MRDS,10039316,625
MRDS,10039317,805
MRDS,10039318,200
MRDS,10039320,714
MRDS,10039321,1906
MRDS,10039322,93
MRDS,10039323,1907
MRDS,10039324,1593
MRDS,10039325,349
MRDS,10039327,361
MRDS,10039328,1908
MRDS,10039329,1419
MRDS,10039330,513
MRDS,10039331,517
MRDS,10039332,752
MRDS,10039333,530
MRDS,10039334,1593
