source_id,record_id,GroupID
MRDS,10008838,521
MRDS,10008839,4443
MRDS,10008840,2901
MRDS,10008844,266
MRDS,10008845,45
MRDS,10008846,2968
MRDS,10008847,2234
MRDS,10008850,422
MRDS,10008851,386
MRDS,10008852,1211
MRDS,10008854,4640
MRDS,10008855,1142
MRDS,10008856,200
MRDS,10008857,848
MRDS,10008858,4329
MRDS,10008859,3623
MRDS,10008860,3978
MRDS,10008861,3511
MRDS,10008862,1627
MRDS,10008863,580
MRDS,10008864,306
MRDS,10008865,964
MRDS,10008866,2493
MRDS,10008867,2561
MRDS,10008868,4837
MRDS,10008872,810
MRDS,10008873,2362
MRDS,10008874,897
MRDS,10008875,1621
MRDS,10008879,3059
MRDS,10008880,5212
MRDS,10008881,1158
MRDS,10008883,414
MRDS,10008884,2876
MRDS,10008885,133
MRDS,10008886,2418
MRDS,10008888,1330
MRDS,10008889,1274
MRDS,10008890,3266
MRDS,10008892,2229
MRDS,10008893,5079
MRDS,10008894,3883
MRDS,10008896,3952
MRDS,10008897,1890
MRDS,10008898,295
MRDS,10008900,3459
MRDS,10008901,3119
MRDS,10008902,3482
MRDS,10008903,1906
MRDS,10008904,2662
MRDS,10008905,4925
MRDS,10008906,2455
MRDS,10008907,3375
MRDS,10008908,2288
MRDS,10008909,1940
MRDS,10008910,2316
MRDS,10008955,2517
MRDS,10008986,2547
MRDS,10008988,4523
MRDS,10008989,4294
MRDS,10008992,1310
MRDS,10009023,123
MRDS,10009096,3089
MRDS,10009188,2439
MRDS,10009191,2478
MRDS,10009195,354
MRDS,10009204,5213
MRDS,10009207,3846
MRDS,10009277,4608
MRDS,10009499,1826
MRDS,10009500,4586
MRDS,10009501,259
MRDS,10009502,4499
MRDS,10009503,1600
MRDS,10009504,846
MRDS,10009505,1122
MRDS,10009506,3559
MRDS,10009507,4471
MRDS,10009508,3925
MRDS,10009509,38
MRDS,10009510,9
MRDS,10009511,9
MRDS,10009512,3124
MRDS,10009513,3521
MRDS,10009514,3521
MRDS,10009515,114
MRDS,10009516,2913
MRDS,10009517,1596
MRDS,10009518,4715
MRDS,10009519,4715
MRDS,10009520,3443
MRDS,10009521,832
MRDS,10009522,4054
MRDS,10009524,2758
MRDS,10009525,1104
MRDS,10009526,1104
MRDS,10009527,89
MRDS,10009528,1290
MRDS,10009529,1290
MRDS,10009530,315
MRDS,10009531,5063
MRDS,10009532,5063
MRDS,10009533,5003
MRDS,10009534,1
MRDS,10009535,5003
MRDS,10009536,3405
MRDS,10009537,3405
MRDS,10009538,3405
MRDS,10009539,3405
MRDS,10009540,5214
MRDS,10009541,5003
MRDS,10009542,3453
MRDS,10009543,3453
MRDS,10009544,4889
MRDS,10009545,3405
MRDS,10009546,3405
MRDS,10009547,4327
MRDS,10009548,3453
MRDS,10009549,3405
MRDS,10009550,5003
MRDS,10009551,1999
MRDS,10009552,1
MRDS,10009553,3405
MRDS,10009554,5003
MRDS,10009555,2915
MRDS,10009556,455
MRDS,10009557,424
MRDS,10009558,734
MRDS,10009559,251
MRDS,10009560,1674
MRDS,10009561,269
MRDS,10009562,5215
MRDS,10009563,921
MRDS,10009564,5216
MRDS,10009565,1328
MRDS,10009566,1301
MRDS,10009567,3454
MRDS,10009568,1668
MRDS,10009569,771
MRDS,10009570,3971
MRDS,10009571,470
MRDS,10009572,1798
MRDS,10009573,1798
MRDS,10009574,3365
MRDS,10009575,2390
MRDS,10009576,2806
MRDS,10009577,1984
MRDS,10009578,561
MRDS,10009579,808
MRDS,10009580,1107
MRDS,10009581,4787
MRDS,10009582,1624
MRDS,10009583,1624
MRDS,10009584,4057
MRDS,10009585,4695
MRDS,10009586,1949
MRDS,10009587,4354
MRDS,10009588,1624
MRDS,10009589,1624
MRDS,10009590,1117
MRDS,10009591,573
MRDS,10009592,4370
MRDS,10009593,1624
MRDS,10009594,2250
MRDS,10009595,5172
MRDS,10009596,1937
MRDS,10009597,3553
MRDS,10009598,2289
MRDS,10009599,3242
MRDS,10009600,749
MRDS,10009601,4607
MRDS,10009602,4282
MRDS,10009603,2634
MRDS,10009604,1651
MRDS,10009605,673
MRDS,10009606,2068
MRDS,10009607,3299
MRDS,10009608,3299
MRDS,10009609,3770
MRDS,10009610,3369
MRDS,10009611,2049
MRDS,10009612,3786
MRDS,10009613,1696
MRDS,10009614,694
MRDS,10009615,4668
MRDS,10009616,3565
MRDS,10009617,59
MRDS,10009618,4362
MRDS,10009619,738
MRDS,10009620,2820
MRDS,10009621,5119
MRDS,10009622,5217
MRDS,10009623,3403
MRDS,10009624,3403
MRDS,10009625,3403
MRDS,10009626,2419
MRDS,10009627,251
MRDS,10009628,2447
MRDS,10009629,2390
MRDS,10009630,1486
MRDS,10009631,1486
MRDS,10009632,3965
MRDS,10009633,3097
MRDS,10009634,3097
MRDS,10009635,3686
MRDS,10009636,3834
MRDS,10009637,602
MRDS,10009638,2608
MRDS,10009639,4848
MRDS,10009640,2251
MRDS,10009641,2251
MRDS,10009642,3113
MRDS,10009643,3763
MRDS,10009644,1215
MRDS,10009645,3029
MRDS,10009646,1283
MRDS,10009647,509
MRDS,10009648,3351
MRDS,10009649,1342
MRDS,10009650,3293
MRDS,10009651,4674
MRDS,10009652,4446
MRDS,10009653,1656
MRDS,10009654,2778
MRDS,10009655,247
MRDS,10009656,1413
MRDS,10009657,4014
MRDS,10009658,4541
MRDS,10009659,3408
MRDS,10009660,640
MRDS,10009661,1374
MRDS,10009663,2516
MRDS,10009664,3818
MRDS,10009665,701
MRDS,10009666,939
MRDS,10009667,3630
MRDS,10009668,862
MRDS,10009669,1447
MRDS,10009670,1508
MRDS,10009671,4235
MRDS,10009672,2271
MRDS,10009673,1854
MRDS,10009674,3551
MRDS,10009675,3551
MRDS,10009676,1437
MRDS,10009677,4314
MRDS,10009678,3734
MRDS,10009688,206
MRDS,10009750,1252
MRDS,10009755,2200
MRDS,10009769,2257
MRDS,10009772,3857
MRDS,10009788,454
MRDS,10009789,4194
MRDS,10009791,4938
MRDS,10009793,62
MRDS,10009798,5218
MRDS,10009824,5219
MRDS,10009903,3828
MRDS,10009910,5022
MRDS,10009926,1751
MRDS,10009933,4945
MRDS,10009943,3643
MRDS,10009946,26
MRDS,10009947,2627
MRDS,10009950,614
MRDS,10009962,2931
MRDS,10009972,482
MRDS,10009974,1440
MRDS,10009975,3016
MRDS,10009977,2103
MRDS,10009983,2128
MRDS,10009984,4467
MRDS,10009985,2135
MRDS,10010035,1490
MRDS,10010036,5075
MRDS,10010053,3366
MRDS,10010108,3039
MRDS,10010110,3674
MRDS,10010123,1154
MRDS,10010129,1209
MRDS,10010272,5136
MRDS,10010358,2467
MRDS,10010364,4762
MRDS,10010582,3805
MRDS,10010583,3885
MRDS,10010599,3099
MRDS,10010732,3704
MRDS,10010733,3805
MRDS,10010749,437
MRDS,10010750,1463
MRDS,10010756,3420
MRDS,10010757,4651
MRDS,10010758,4090
MRDS,10010759,869
MRDS,10010760,2242
MRDS,10010778,2700
MRDS,10010779,2114
MRDS,10010780,3708
MRDS,10010794,1232
MRDS,10010802,5220
MRDS,10010817,1267
MRDS,10010818,1072
MRDS,10010819,2781
MRDS,10010820,2925
MRDS,10010821,959
MRDS,10010824,4575
MRDS,10010838,1581
MRDS,10010863,3843
MRDS,10010875,4340
MRDS,10011083,340
MRDS,10011084,1821
MRDS,10011233,2365
MRDS,10011236,4202
MRDS,10011245,1693
MRDS,10011246,2931
MRDS,10011265,4485
MRDS,10011266,499
MRDS,10011284,75
MRDS,10011287,2926
MRDS,10011325,2356
MRDS,10011335,1158
MRDS,10011336,3217
MRDS,10011390,617
MRDS,10011491,2214
MRDS,10011545,359
MRDS,10011550,1620
MRDS,10011551,219
MRDS,10011552,1620
MRDS,10011559,1876
MRDS,10011562,4863
MRDS,10011567,3622
MRDS,10011568,1280
MRDS,10011574,988
MRDS,10011584,2980
MRDS,10011692,4151
MRDS,10011711,3614
MRDS,10011761,4119
MRDS,10011792,5221
MRDS,10011955,4611
MRDS,10011956,1393
MRDS,10011962,2082
MRDS,10011965,2849
MRDS,10011975,653
MRDS,10011977,567
MRDS,10011988,2796
MRDS,10012132,210
MRDS,10012133,4030
